interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,spp
2025-01-05T00:00:00-06:00,2025-01-05 06:00:00+00:00,2025-01-05T01:00:00-06:00,2025-01-05 07:00:00+00:00,SBEAN_BESS,41.83
2025-01-05T01:00:00-06:00,2025-01-05 07:00:00+00:00,2025-01-05T02:00:00-06:00,2025-01-05 08:00:00+00:00,SBEAN_BESS,45.2
2025-01-05T02:00:00-06:00,2025-01-05 08:00:00+00:00,2025-01-05T03:00:00-06:00,2025-01-05 09:00:00+00:00,SBEAN_BESS,43.12
2025-01-05T03:00:00-06:00,2025-01-05 09:00:00+00:00,2025-01-05T04:00:00-06:00,2025-01-05 10:00:00+00:00,SBEAN_BESS,39.62
2025-01-05T04:00:00-06:00,2025-01-05 10:00:00+00:00,2025-01-05T05:00:00-06:00,2025-01-05 11:00:00+00:00,SBEAN_BESS,37.78
2025-01-05T05:00:00-06:00,2025-01-05 11:00:00+00:00,2025-01-05T06:00:00-06:00,2025-01-05 12:00:00+00:00,SBEAN_BESS,36.05
2025-01-05T06:00:00-06:00,2025-01-05 12:00:00+00:00,2025-01-05T07:00:00-06:00,2025-01-05 13:00:00+00:00,SBEAN_BESS,43.04
2025-01-05T07:00:00-06:00,2025-01-05 13:00:00+00:00,2025-01-05T08:00:00-06:00,2025-01-05 14:00:00+00:00,SBEAN_BESS,44.79
2025-01-05T08:00:00-06:00,2025-01-05 14:00:00+00:00,2025-01-05T09:00:00-06:00,2025-01-05 15:00:00+00:00,SBEAN_BESS,8.77
2025-01-05T09:00:00-06:00,2025-01-05 15:00:00+00:00,2025-01-05T10:00:00-06:00,2025-01-05 16:00:00+00:00,SBEAN_BESS,-2.75
2025-01-05T10:00:00-06:00,2025-01-05 16:00:00+00:00,2025-01-05T11:00:00-06:00,2025-01-05 17:00:00+00:00,SBEAN_BESS,-5.48
2025-01-05T11:00:00-06:00,2025-01-05 17:00:00+00:00,2025-01-05T12:00:00-06:00,2025-01-05 18:00:00+00:00,SBEAN_BESS,-6.26
2025-01-05T12:00:00-06:00,2025-01-05 18:00:00+00:00,2025-01-05T13:00:00-06:00,2025-01-05 19:00:00+00:00,SBEAN_BESS,-7.24
2025-01-05T13:00:00-06:00,2025-01-05 19:00:00+00:00,2025-01-05T14:00:00-06:00,2025-01-05 20:00:00+00:00,SBEAN_BESS,-4.27
2025-01-05T14:00:00-06:00,2025-01-05 20:00:00+00:00,2025-01-05T15:00:00-06:00,2025-01-05 21:00:00+00:00,SBEAN_BESS,-3.5
2025-01-05T15:00:00-06:00,2025-01-05 21:00:00+00:00,2025-01-05T16:00:00-06:00,2025-01-05 22:00:00+00:00,SBEAN_BESS,-3.15
2025-01-05T16:00:00-06:00,2025-01-05 22:00:00+00:00,2025-01-05T17:00:00-06:00,2025-01-05 23:00:00+00:00,SBEAN_BESS,5.03
