interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,spp
2025-07-06T00:00:00-05:00,2025-07-06 05:00:00+00:00,2025-07-06T01:00:00-05:00,2025-07-06 06:00:00+00:00,SBEAN_BESS,61.5
2025-07-06T01:00:00-05:00,2025-07-06 06:00:00+00:00,2025-07-06T02:00:00-05:00,2025-07-06 07:00:00+00:00,SBEAN_BESS,60.4
2025-07-06T02:00:00-05:00,2025-07-06 07:00:00+00:00,2025-07-06T03:00:00-05:00,2025-07-06 08:00:00+00:00,SBEAN_BESS,60.85
2025-07-06T03:00:00-05:00,2025-07-06 08:00:00+00:00,2025-07-06T04:00:00-05:00,2025-07-06 09:00:00+00:00,SBEAN_BESS,62.18
2025-07-06T04:00:00-05:00,2025-07-06 09:00:00+00:00,2025-07-06T05:00:00-05:00,2025-07-06 10:00:00+00:00,SBEAN_BESS,64.01
2025-07-06T05:00:00-05:00,2025-07-06 10:00:00+00:00,2025-07-06T06:00:00-05:00,2025-07-06 11:00:00+00:00,SBEAN_BESS,68.55
2025-07-06T06:00:00-05:00,2025-07-06 11:00:00+00:00,2025-07-06T07:00:00-05:00,2025-07-06 12:00:00+00:00,SBEAN_BESS,65.77
2025-07-06T07:00:00-05:00,2025-07-06 12:00:00+00:00,2025-07-06T08:00:00-05:00,2025-07-06 13:00:00+00:00,SBEAN_BESS,50.45
2025-07-06T08:00:00-05:00,2025-07-06 13:00:00+00:00,2025-07-06T09:00:00-05:00,2025-07-06 14:00:00+00:00,SBEAN_BESS,25.75
2025-07-06T09:00:00-05:00,2025-07-06 14:00:00+00:00,2025-07-06T10:00:00-05:00,2025-07-06 15:00:00+00:00,SBEAN_BESS,21.86
2025-07-06T10:00:00-05:00,2025-07-06 15:00:00+00:00,2025-07-06T11:00:00-05:00,2025-07-06 16:00:00+00:00,SBEAN_BESS,21.52
2025-07-06T11:00:00-05:00,2025-07-06 16:00:00+00:00,2025-07-06T12:00:00-05:00,2025-07-06 17:00:00+00:00,SBEAN_BESS,21.64
2025-07-06T12:00:00-05:00,2025-07-06 17:00:00+00:00,2025-07-06T13:00:00-05:00,2025-07-06 18:00:00+00:00,SBEAN_BESS,24.68
2025-07-06T13:00:00-05:00,2025-07-06 18:00:00+00:00,2025-07-06T14:00:00-05:00,2025-07-06 19:00:00+00:00,SBEAN_BESS,24.45
2025-07-06T14:00:00-05:00,2025-07-06 19:00:00+00:00,2025-07-06T15:00:00-05:00,2025-07-06 20:00:00+00:00,SBEAN_BESS,25.71
2025-07-06T15:00:00-05:00,2025-07-06 20:00:00+00:00,2025-07-06T16:00:00-05:00,2025-07-06 21:00:00+00:00,SBEAN_BESS,25.47
2025-07-06T16:00:00-05:00,2025-07-06 21:00:00+00:00,2025-07-06T17:00:00-05:00,2025-07-06 22:00:00+00:00,SBEAN_BESS,26.64
2025-07-06T17:00:00-05:00,2025-07-06 22:00:00+00:00,2025-07-06T18:00:00-05:00,2025-07-06 23:00:00+00:00,SBEAN_BESS,31.21
2025-07-06T18:00:00-05:00,2025-07-06 23:00:00+00:00,2025-07-06T19:00:00-05:00,2025-07-07 00:00:00+00:00,SBEAN_BESS,39.74
