interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,spp
2025-01-05T00:00:00-06:00,2025-01-05 06:00:00+00:00,2025-01-05T00:15:00-06:00,2025-01-05 06:15:00+00:00,SBEAN_BESS,-29.65
2025-01-05T00:15:00-06:00,2025-01-05 06:15:00+00:00,2025-01-05T00:30:00-06:00,2025-01-05 06:30:00+00:00,SBEAN_BESS,-27.46
2025-01-05T00:30:00-06:00,2025-01-05 06:30:00+00:00,2025-01-05T00:45:00-06:00,2025-01-05 06:45:00+00:00,SBEAN_BESS,-25.62
2025-01-05T00:45:00-06:00,2025-01-05 06:45:00+00:00,2025-01-05T01:00:00-06:00,2025-01-05 07:00:00+00:00,SBEAN_BESS,-25.56
2025-01-05T01:00:00-06:00,2025-01-05 07:00:00+00:00,2025-01-05T01:15:00-06:00,2025-01-05 07:15:00+00:00,SBEAN_BESS,-25.54
2025-01-05T01:15:00-06:00,2025-01-05 07:15:00+00:00,2025-01-05T01:30:00-06:00,2025-01-05 07:30:00+00:00,SBEAN_BESS,-26.12
2025-01-05T01:30:00-06:00,2025-01-05 07:30:00+00:00,2025-01-05T01:45:00-06:00,2025-01-05 07:45:00+00:00,SBEAN_BESS,-24.38
2025-01-05T01:45:00-06:00,2025-01-05 07:45:00+00:00,2025-01-05T02:00:00-06:00,2025-01-05 08:00:00+00:00,SBEAN_BESS,-19.58
2025-01-05T02:00:00-06:00,2025-01-05 08:00:00+00:00,2025-01-05T02:15:00-06:00,2025-01-05 08:15:00+00:00,SBEAN_BESS,-6.29
2025-01-05T02:15:00-06:00,2025-01-05 08:15:00+00:00,2025-01-05T02:30:00-06:00,2025-01-05 08:30:00+00:00,SBEAN_BESS,3.71
2025-01-05T02:30:00-06:00,2025-01-05 08:30:00+00:00,2025-01-05T02:45:00-06:00,2025-01-05 08:45:00+00:00,SBEAN_BESS,1.29
2025-01-05T02:45:00-06:00,2025-01-05 08:45:00+00:00,2025-01-05T03:00:00-06:00,2025-01-05 09:00:00+00:00,SBEAN_BESS,1.26
2025-01-05T03:00:00-06:00,2025-01-05 09:00:00+00:00,2025-01-05T03:15:00-06:00,2025-01-05 09:15:00+00:00,SBEAN_BESS,12.31
2025-01-05T03:15:00-06:00,2025-01-05 09:15:00+00:00,2025-01-05T03:30:00-06:00,2025-01-05 09:30:00+00:00,SBEAN_BESS,14.69
2025-01-05T03:30:00-06:00,2025-01-05 09:30:00+00:00,2025-01-05T03:45:00-06:00,2025-01-05 09:45:00+00:00,SBEAN_BESS,13.12
2025-01-05T03:45:00-06:00,2025-01-05 09:45:00+00:00,2025-01-05T04:00:00-06:00,2025-01-05 10:00:00+00:00,SBEAN_BESS,6.71
2025-01-05T04:00:00-06:00,2025-01-05 10:00:00+00:00,2025-01-05T04:15:00-06:00,2025-01-05 10:15:00+00:00,SBEAN_BESS,-0.47
2025-01-05T04:15:00-06:00,2025-01-05 10:15:00+00:00,2025-01-05T04:30:00-06:00,2025-01-05 10:30:00+00:00,SBEAN_BESS,-21.12
2025-01-05T04:30:00-06:00,2025-01-05 10:30:00+00:00,2025-01-05T04:45:00-06:00,2025-01-05 10:45:00+00:00,SBEAN_BESS,-28.17
2025-01-05T04:45:00-06:00,2025-01-05 10:45:00+00:00,2025-01-05T05:00:00-06:00,2025-01-05 11:00:00+00:00,SBEAN_BESS,-28.22
2025-01-05T05:00:00-06:00,2025-01-05 11:00:00+00:00,2025-01-05T05:15:00-06:00,2025-01-05 11:15:00+00:00,SBEAN_BESS,-28.21
2025-01-05T05:15:00-06:00,2025-01-05 11:15:00+00:00,2025-01-05T05:30:00-06:00,2025-01-05 11:30:00+00:00,SBEAN_BESS,-28.14
2025-01-05T05:30:00-06:00,2025-01-05 11:30:00+00:00,2025-01-05T05:45:00-06:00,2025-01-05 11:45:00+00:00,SBEAN_BESS,-26.41
2025-01-05T05:45:00-06:00,2025-01-05 11:45:00+00:00,2025-01-05T06:00:00-06:00,2025-01-05 12:00:00+00:00,SBEAN_BESS,-16.87
2025-01-05T06:00:00-06:00,2025-01-05 12:00:00+00:00,2025-01-05T06:15:00-06:00,2025-01-05 12:15:00+00:00,SBEAN_BESS,2.75
2025-01-05T06:15:00-06:00,2025-01-05 12:15:00+00:00,2025-01-05T06:30:00-06:00,2025-01-05 12:30:00+00:00,SBEAN_BESS,7.71
2025-01-05T06:30:00-06:00,2025-01-05 12:30:00+00:00,2025-01-05T06:45:00-06:00,2025-01-05 12:45:00+00:00,SBEAN_BESS,5.74
2025-01-05T06:45:00-06:00,2025-01-05 12:45:00+00:00,2025-01-05T07:00:00-06:00,2025-01-05 13:00:00+00:00,SBEAN_BESS,8.07
2025-01-05T07:00:00-06:00,2025-01-05 13:00:00+00:00,2025-01-05T07:15:00-06:00,2025-01-05 13:15:00+00:00,SBEAN_BESS,2.28
2025-01-05T07:15:00-06:00,2025-01-05 13:15:00+00:00,2025-01-05T07:30:00-06:00,2025-01-05 13:30:00+00:00,SBEAN_BESS,-0.78
2025-01-05T07:30:00-06:00,2025-01-05 13:30:00+00:00,2025-01-05T07:45:00-06:00,2025-01-05 13:45:00+00:00,SBEAN_BESS,-1.84
