interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,spp
2025-07-06T00:00:00-05:00,2025-07-06 05:00:00+00:00,2025-07-06T00:15:00-05:00,2025-07-06 05:15:00+00:00,SBEAN_BESS,69.82
2025-07-06T00:15:00-05:00,2025-07-06 05:15:00+00:00,2025-07-06T00:30:00-05:00,2025-07-06 05:30:00+00:00,SBEAN_BESS,70.68
2025-07-06T00:30:00-05:00,2025-07-06 05:30:00+00:00,2025-07-06T00:45:00-05:00,2025-07-06 05:45:00+00:00,SBEAN_BESS,73.39
2025-07-06T00:45:00-05:00,2025-07-06 05:45:00+00:00,2025-07-06T01:00:00-05:00,2025-07-06 06:00:00+00:00,SBEAN_BESS,79.38
2025-07-06T01:00:00-05:00,2025-07-06 06:00:00+00:00,2025-07-06T01:15:00-05:00,2025-07-06 06:15:00+00:00,SBEAN_BESS,92.89
2025-07-06T01:15:00-05:00,2025-07-06 06:15:00+00:00,2025-07-06T01:30:00-05:00,2025-07-06 06:30:00+00:00,SBEAN_BESS,88.89
2025-07-06T01:30:00-05:00,2025-07-06 06:30:00+00:00,2025-07-06T01:45:00-05:00,2025-07-06 06:45:00+00:00,SBEAN_BESS,89.45
2025-07-06T01:45:00-05:00,2025-07-06 06:45:00+00:00,2025-07-06T02:00:00-05:00,2025-07-06 07:00:00+00:00,SBEAN_BESS,93.32
2025-07-06T02:00:00-05:00,2025-07-06 07:00:00+00:00,2025-07-06T02:15:00-05:00,2025-07-06 07:15:00+00:00,SBEAN_BESS,111.03
2025-07-06T02:15:00-05:00,2025-07-06 07:15:00+00:00,2025-07-06T02:30:00-05:00,2025-07-06 07:30:00+00:00,SBEAN_BESS,64.7
2025-07-06T02:30:00-05:00,2025-07-06 07:30:00+00:00,2025-07-06T02:45:00-05:00,2025-07-06 07:45:00+00:00,SBEAN_BESS,92.13
2025-07-06T02:45:00-05:00,2025-07-06 07:45:00+00:00,2025-07-06T03:00:00-05:00,2025-07-06 08:00:00+00:00,SBEAN_BESS,95.07
2025-07-06T03:00:00-05:00,2025-07-06 08:00:00+00:00,2025-07-06T03:15:00-05:00,2025-07-06 08:15:00+00:00,SBEAN_BESS,99.24
2025-07-06T03:15:00-05:00,2025-07-06 08:15:00+00:00,2025-07-06T03:30:00-05:00,2025-07-06 08:30:00+00:00,SBEAN_BESS,99.5
2025-07-06T03:30:00-05:00,2025-07-06 08:30:00+00:00,2025-07-06T03:45:00-05:00,2025-07-06 08:45:00+00:00,SBEAN_BESS,102.17
2025-07-06T03:45:00-05:00,2025-07-06 08:45:00+00:00,2025-07-06T04:00:00-05:00,2025-07-06 09:00:00+00:00,SBEAN_BESS,99.73
2025-07-06T04:00:00-05:00,2025-07-06 09:00:00+00:00,2025-07-06T04:15:00-05:00,2025-07-06 09:15:00+00:00,SBEAN_BESS,99.12
2025-07-06T04:15:00-05:00,2025-07-06 09:15:00+00:00,2025-07-06T04:30:00-05:00,2025-07-06 09:30:00+00:00,SBEAN_BESS,117.93
2025-07-06T04:30:00-05:00,2025-07-06 09:30:00+00:00,2025-07-06T04:45:00-05:00,2025-07-06 09:45:00+00:00,SBEAN_BESS,54.65
2025-07-06T04:45:00-05:00,2025-07-06 09:45:00+00:00,2025-07-06T05:00:00-05:00,2025-07-06 10:00:00+00:00,SBEAN_BESS,85.95
2025-07-06T05:00:00-05:00,2025-07-06 10:00:00+00:00,2025-07-06T05:15:00-05:00,2025-07-06 10:15:00+00:00,SBEAN_BESS,131.83
2025-07-06T05:15:00-05:00,2025-07-06 10:15:00+00:00,2025-07-06T05:30:00-05:00,2025-07-06 10:30:00+00:00,SBEAN_BESS,88.55
2025-07-06T05:30:00-05:00,2025-07-06 10:30:00+00:00,2025-07-06T05:45:00-05:00,2025-07-06 10:45:00+00:00,SBEAN_BESS,56.84
2025-07-06T05:45:00-05:00,2025-07-06 10:45:00+00:00,2025-07-06T06:00:00-05:00,2025-07-06 11:00:00+00:00,SBEAN_BESS,150.58
2025-07-06T06:00:00-05:00,2025-07-06 11:00:00+00:00,2025-07-06T06:15:00-05:00,2025-07-06 11:15:00+00:00,SBEAN_BESS,55.85
